15000000,Tanked Fish
20000000,Pond Fish
8500000,Dogs
8000000,Cats
900000,Rabbits
700000,Caged Birds
700000,Reptiles
600000,Domestic Fowl
500000,Guinea Pigs
300000,Hamsters
300000,Horses
